SEF	1.0.0
ID	Zurich_Escher
Name	ZÃ¼rich
Lat	47.37326
Lon	8.53952
Alt	430
Source	GCOS
Link	NA
Vbl	ta
Stat	mean
Units	C
Meta	Observer=Escher
Year	Month	Day	Hour	Minute	Period	Value	Meta
1816	1	NA	NA	NA	month	-0.7	
1816	2	NA	NA	NA	month	-1.3	
1816	3	NA	NA	NA	month	3.9	
1816	4	NA	NA	NA	month	9.9	
1816	5	NA	NA	NA	month	13.6	
1816	6	NA	NA	NA	month	15.5	
1816	7	NA	NA	NA	month	16.7	
1816	8	NA	NA	NA	month	16.9	
1816	9	NA	NA	NA	month	14.9	
1816	10	NA	NA	NA	month	11.5	
1816	11	NA	NA	NA	month	3.7	
1816	12	NA	NA	NA	month	0.8	
1817	1	NA	NA	NA	month	2.7	
1817	2	NA	NA	NA	month	4.5	
1817	3	NA	NA	NA	month	4.6	
1817	4	NA	NA	NA	month	5.9	
1817	5	NA	NA	NA	month	13.4	
1817	6	NA	NA	NA	month	19	
1817	7	NA	NA	NA	month	18.5	
1817	8	NA	NA	NA	month	18.4	
1817	9	NA	NA	NA	month	19	
1817	10	NA	NA	NA	month	7	
1817	11	NA	NA	NA	month	5.7	
1817	12	NA	NA	NA	month	0	
1818	1	NA	NA	NA	month	1.8	
1818	2	NA	NA	NA	month	3.4	
1818	3	NA	NA	NA	month	5.5	
1818	4	NA	NA	NA	month	12.6	
1818	5	NA	NA	NA	month	14.3	
1818	6	NA	NA	NA	month	19.8	
1818	7	NA	NA	NA	month	20.9	
1818	8	NA	NA	NA	month	18.9	
1818	9	NA	NA	NA	month	15.2	
1818	10	NA	NA	NA	month	9.5	
1818	11	NA	NA	NA	month	6.9	
1818	12	NA	NA	NA	month	-0.6	
1819	1	NA	NA	NA	month	1.2	
1819	2	NA	NA	NA	month	3.5	
1819	3	NA	NA	NA	month	6.4	
1819	4	NA	NA	NA	month	12.4	
1819	5	NA	NA	NA	month	16.4	
1819	6	NA	NA	NA	month	17.7	
1819	7	NA	NA	NA	month	20.4	
1819	8	NA	NA	NA	month	19.7	
1819	9	NA	NA	NA	month	16.6	
1819	10	NA	NA	NA	month	10	
1819	11	NA	NA	NA	month	4.1	
1819	12	NA	NA	NA	month	1.4	
1820	1	NA	NA	NA	month	-2.6	
1820	2	NA	NA	NA	month	2.5	
1820	3	NA	NA	NA	month	3.9	
1820	4	NA	NA	NA	month	12.7	
1820	5	NA	NA	NA	month	16	
1820	6	NA	NA	NA	month	16.1	
1820	7	NA	NA	NA	month	18.9	
1820	8	NA	NA	NA	month	21.5	
1820	9	NA	NA	NA	month	14.2	
1820	10	NA	NA	NA	month	9.2	
1820	11	NA	NA	NA	month	1.9	
1820	12	NA	NA	NA	month	0.4	
